id,name,email,gender,city,state,age,ssn,race,diabetes,asthma,depression,anxiety,migraines,arthritis,eczema,stroke,dementia,HIV
59,Kalil Jamison,kjamison1m@nydailynews.com,Male,Louisville,Kentucky,84,527-51-5613,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
60,Puff Tunny,ptunny1n@newsvine.com,Male,Duluth,Georgia,27,707-56-0855,Native Hawaiian or Other Pacific Islander,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
61,Babbie Shakespeare,bshakespeare1o@indiatimes.com,Female,Houston,Texas,61,621-10-2569,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
62,Yasmeen Capnerhurst,ycapnerhurst1p@usatoday.com,Female,Fargo,North Dakota,34,503-89-8721,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
63,Ora Dow,odow1q@accuweather.com,Female,Sarasota,Florida,56,529-20-7744,American Indian or Alaska Native,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
64,Arabel Wickwar,awickwar1r@epa.gov,Female,Kansas City,Missouri,45,169-98-5506,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
65,Minta Olenin,molenin1s@rediff.com,Female,Austin,Texas,32,619-34-5648,Asian,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
66,Farra Mulleary,fmulleary1t@xrea.com,Female,Fairfield,Connecticut,73,227-95-9034,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
67,Samuele Chance,schance1u@miitbeian.gov.cn,Male,Macon,Georgia,24,634-49-2966,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
68,Lonny McGauhy,lmcgauhy1v@godaddy.com,Male,Young America,Minnesota,27,524-27-0273,Asian,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
69,Courtney Lesaunier,clesaunier1w@hc360.com,Male,Staten Island,New York,29,582-13-7741,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes
70,Stepha D'Ambrogi,sdambrogi1x@biblegateway.com,Female,Oklahoma City,Oklahoma,55,891-38-8977,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
71,Augustine Slyde,aslyde1y@deliciousdays.com,Female,Pomona,California,48,588-35-5864,Asian,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
72,Collen Whyley,cwhyley1z@w3.org,Female,New York City,New York,32,824-58-4494,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
73,Dionisio Ziemke,dziemke20@soup.io,Male,Des Moines,Iowa,26,228-42-1415,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
74,Aretha Yearn,ayearn21@pagesperso-orange.fr,Female,Vero Beach,Florida,32,386-73-8954,Native Hawaiian or Other Pacific Islander,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
75,Arleta Paye,apaye22@topsy.com,Female,Phoenix,Arizona,74,493-99-4807,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes
76,Winifield Pye,wpye23@de.vu,Male,Oklahoma City,Oklahoma,68,513-02-7457,Native Hawaiian or Other Pacific Islander,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
77,Toni Beville,tbeville24@chicagotribune.com,Female,Sunnyvale,California,40,203-68-3422,Native Hawaiian or Other Pacific Islander,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
78,Samuele Emmott,semmott25@ca.gov,Male,Oklahoma City,Oklahoma,85,644-20-1794,Native Hawaiian or Other Pacific Islander,No,No,Yes,Yes,Yes,No,Yes,No,No,No
79,Shellysheldon Valentelli,svalentelli26@yahoo.com,Male,Saint Paul,Minnesota,57,818-60-2883,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes
80,Hector Rosenstiel,hrosenstiel27@linkedin.com,Male,Oakland,California,39,685-41-6091,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
81,Chaddy Lis,clis28@baidu.com,Male,Pasadena,California,37,888-84-5499,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
82,Flory Americi,famerici29@kickstarter.com,Female,Wichita Falls,Texas,45,682-12-1965,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
83,Alix French,afrench2a@reddit.com,Male,Saint Paul,Minnesota,58,210-32-7808,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
84,Tommy Hinzer,thinzer2b@histats.com,Male,Long Beach,California,43,718-06-4098,Native Hawaiian or Other Pacific Islander,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
85,Matty Vallentin,mvallentin2c@ovh.net,Male,Scottsdale,Arizona,43,723-84-9753,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
86,Letty Geill,lgeill2d@google.ca,Female,Lansing,Michigan,85,476-62-3610,American Indian or Alaska Native,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
87,Garald Scroggins,gscroggins2e@livejournal.com,Male,Los Angeles,California,64,488-36-1945,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
88,Milissent Clingan,mclingan2f@mlb.com,Female,Washington,District of Columbia,42,462-06-9422,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
89,Lurleen Hellmore,lhellmore2g@vkontakte.ru,Female,Boston,Massachusetts,49,420-29-3671,Black or African American,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
90,Holli Parsisson,hparsisson2h@flavors.me,Female,Bradenton,Florida,63,412-36-5045,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
91,Inger Rountree,irountree2i@merriam-webster.com,Female,Orlando,Florida,81,607-27-4817,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
92,Josephine Armytage,jarmytage2j@phpbb.com,Female,Aurora,Illinois,57,394-99-1196,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
93,Dorrie Pencost,dpencost2k@dagondesign.com,Female,Pasadena,California,27,511-29-4823,Native Hawaiian or Other Pacific Islander,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
94,Alidia Bute,abute2l@dell.com,Female,Richmond,Virginia,54,328-16-9736,Native Hawaiian or Other Pacific Islander,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
95,Alyson Kneaphsey,akneaphsey2m@bbc.co.uk,Female,Las Vegas,Nevada,67,144-34-0446,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
96,Cointon Radbone,cradbone2n@java.com,Male,Beaumont,Texas,29,633-81-5172,Native Hawaiian or Other Pacific Islander,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
97,Reinhard Resun,rresun2o@tripod.com,Male,Bakersfield,California,45,664-97-9328,Native Hawaiian or Other Pacific Islander,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
98,Lorna Radden,lradden2p@woothemes.com,Female,El Paso,Texas,23,899-21-5163,Native Hawaiian or Other Pacific Islander,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
99,Win Bartolommeo,wbartolommeo2q@fda.gov,Male,Jacksonville,Florida,61,728-80-7952,American Indian or Alaska Native,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes
100,Lindie Avrahamof,lavrahamof2r@bloglines.com,Female,Montgomery,Alabama,34,326-87-6902,Asian,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
101,Clarette Dulson,cdulson2s@mail.ru,Female,Tacoma,Washington,65,744-20-3880,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
102,Kelby Burl,kburl2t@webs.com,Male,Denver,Colorado,51,146-22-7309,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
103,Alf Attenborough,aattenborough2u@liveinternet.ru,Male,Washington,District of Columbia,62,369-12-7271,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
104,Addy Brislane,abrislane2v@seesaa.net,Male,Los Angeles,California,40,868-42-3038,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes
105,Gerik Reuble,greuble2w@soundcloud.com,Male,Colorado Springs,Colorado,71,183-70-6983,Native Hawaiian or Other Pacific Islander,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
106,Luis Roebottom,lroebottom2x@si.edu,Male,Hagerstown,Maryland,77,140-76-8524,Asian,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
107,Sonnnie Goodwin,sgoodwin2y@typepad.com,Female,Madison,Wisconsin,80,678-30-4585,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
108,Niels Fazackerley,nfazackerley2z@va.gov,Male,Washington,District of Columbia,30,252-02-0313,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
109,Griswold McIlvaney,gmcilvaney30@sun.com,Male,Baton Rouge,Louisiana,69,605-87-4675,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
110,Glenden Clink,gclink31@webnode.com,Male,Green Bay,Wisconsin,25,296-34-0953,Asian,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes
111,Casper Glabach,cglabach32@psu.edu,Male,Louisville,Kentucky,57,792-06-4976,Asian,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes
112,Christian MacGettigen,cmacgettigen33@admin.ch,Male,Louisville,Kentucky,63,113-22-4031,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes
113,Haroun Shoebottom,hshoebottom34@icio.us,Male,Norcross,Georgia,82,520-49-5004,Native Hawaiian or Other Pacific Islander,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
114,Bronnie Roman,broman35@newyorker.com,Male,Cleveland,Ohio,30,565-06-0557,Native Hawaiian or Other Pacific Islander,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
115,Jonis Golley,jgolley36@ameblo.jp,Female,Salt Lake City,Utah,49,505-12-7848,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
116,Lian Ricardet,lricardet37@canalblog.com,Female,Birmingham,Alabama,80,283-38-2371,American Indian or Alaska Native,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
117,Frederico Ewing,fewing38@a8.net,Male,Roanoke,Virginia,62,300-94-2661,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
118,Salmon Knyvett,sknyvett39@360.cn,Male,Miami,Florida,78,274-86-3884,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
119,Dennis Diver,ddiver3a@newyorker.com,Male,Houston,Texas,29,604-85-4641,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
120,Wait Bennie,wbennie3b@sogou.com,Male,Pasadena,California,85,772-01-2028,Native Hawaiian or Other Pacific Islander,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
121,Vivianna Dabbs,vdabbs3c@cbsnews.com,Female,Topeka,Kansas,49,826-64-6844,Native Hawaiian or Other Pacific Islander,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
122,Benedicta Bolliver,bbolliver3d@hexun.com,Female,Farmington,Michigan,64,693-98-1130,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
123,Sheila Aldcorn,saldcorn3e@xing.com,Female,Las Vegas,Nevada,69,834-90-6012,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
124,Candis Kenn,ckenn3f@hibu.com,Female,Bonita Springs,Florida,61,855-41-8271,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
125,Reina Colegate,rcolegate3g@merriam-webster.com,Female,Arlington,Virginia,59,847-84-4472,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
126,Eveleen Sarl,esarl3h@eepurl.com,Female,Colorado Springs,Colorado,51,877-88-4263,Asian,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
127,Cristine Semrad,csemrad3i@toplist.cz,Female,Tulsa,Oklahoma,52,230-28-5071,American Indian or Alaska Native,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
128,Dorrie Blamey,dblamey3j@flickr.com,Female,Bridgeport,Connecticut,78,475-58-4584,Native Hawaiian or Other Pacific Islander,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
129,Titos Ruse,truse3k@marriott.com,Male,New York City,New York,53,337-45-0711,Black or African American,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
130,Griswold Amburgy,gamburgy3l@technorati.com,Male,Milwaukee,Wisconsin,86,849-47-1451,Native Hawaiian or Other Pacific Islander,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
131,Brendon Vineall,bvineall3m@acquirethisname.com,Male,Washington,District of Columbia,68,352-69-6570,American Indian or Alaska Native,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
132,Gayla Salerg,gsalerg3n@privacy.gov.au,Female,Scranton,Pennsylvania,41,158-82-3491,Native Hawaiian or Other Pacific Islander,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
133,Carilyn Gusticke,cgusticke3o@hhs.gov,Female,Torrance,California,32,520-46-1942,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
134,Virgil Bridden,vbridden3p@sciencedaily.com,Male,Shreveport,Louisiana,40,464-76-7289,American Indian or Alaska Native,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
135,Nevins Howatt,nhowatt3q@europa.eu,Male,Phoenix,Arizona,31,599-76-1602,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
136,Carolan Mooreed,cmooreed3r@cyberchimps.com,Female,Alexandria,Virginia,36,577-68-0065,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
137,Helaina Mendus,hmendus3s@howstuffworks.com,Female,Washington,District of Columbia,68,468-82-0242,Asian,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
138,Helga Yockney,hyockney3t@angelfire.com,Female,Mobile,Alabama,61,241-81-6401,Asian,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
139,Cherida Pariso,cpariso3u@freewebs.com,Female,Atlanta,Georgia,67,667-31-8051,Asian,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
140,Natty Keiley,nkeiley3v@prlog.org,Male,Brooklyn,New York,77,822-89-8207,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
141,Milo Courtenay,mcourtenay3w@mtv.com,Male,Springfield,Massachusetts,43,540-68-8251,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
142,Robbie Fibbens,rfibbens3x@zdnet.com,Female,Pensacola,Florida,26,330-01-7642,Asian,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
143,Osborn Fellow,ofellow3y@opera.com,Male,Portland,Oregon,61,493-39-9628,Native Hawaiian or Other Pacific Islander,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
144,Camala Bidgood,cbidgood3z@usnews.com,Female,Hayward,California,31,115-84-0021,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
145,Linoel Wharby,lwharby40@reddit.com,Male,Winston Salem,North Carolina,25,324-35-6790,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
146,Ginelle Snelson,gsnelson41@purevolume.com,Female,Syracuse,New York,37,379-60-9511,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
147,Valerie Alben,valben42@hostgator.com,Female,Cleveland,Ohio,56,723-38-6183,American Indian or Alaska Native,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
148,Howey Zettler,hzettler43@cnbc.com,Male,Washington,District of Columbia,42,846-05-2343,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
149,Davida MacArd,dmacard44@hao123.com,Female,Cleveland,Ohio,86,297-47-6804,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
150,Kittie Roles,kroles45@amazonaws.com,Female,Colorado Springs,Colorado,39,729-23-3792,Native Hawaiian or Other Pacific Islander,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
151,Rodrick Bennion,rbennion46@com.com,Male,El Paso,Texas,74,174-39-2352,Asian,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
152,Quinton Mosedale,qmosedale47@netvibes.com,Male,Pensacola,Florida,72,582-35-4142,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
153,Garnet Gartenfeld,ggartenfeld48@upenn.edu,Female,Columbia,South Carolina,85,781-76-2282,Native Hawaiian or Other Pacific Islander,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
154,Elmira Gadsdon,egadsdon49@tmall.com,Female,Houston,Texas,65,488-17-4698,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
