id,first_name,last_name,email,gender,ip_address,city,state,ssn,race,diabetes,asthma,depression,anxiety,migraines,arthritis,eczema,stroke,dementia,HIV
23,Aurilia,Brightie,abrightiem@wordpress.org,Female,180.177.100.200,Bridgeport,Connecticut,836-32-5427,Taiwanese,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
24,Casar,MacMenamie,cmacmenamien@wordpress.com,Male,3.189.95.45,Chicago,Illinois,529-50-9853,Seminole,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
25,Deb,Elles,delleso@tiny.cc,Female,65.149.144.167,Charlotte,North Carolina,725-53-8417,Black or African American,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Nobie,Paulus,npaulusp@loc.gov,Male,0.88.205.30,San Jose,California,713-57-6659,Peruvian,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
27,Sanford,Denington,sdeningtonq@webeden.co.uk,Male,135.82.240.170,Las Vegas,Nevada,620-25-1838,Fijian,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
28,Madelina,Crielly,mcriellyr@linkedin.com,Female,19.205.129.246,Cincinnati,Ohio,448-94-1011,Indonesian,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29,Lisle,Grishagin,lgrishagins@ucoz.com,Male,166.33.67.230,Birmingham,Alabama,154-08-9531,Hmong,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
30,Marcus,Winfrey,mwinfreyt@samsung.com,Male,102.230.69.250,Fort Smith,Arkansas,688-60-4432,Yakama,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
31,Galina,Poultney,gpoultneyu@gov.uk,Female,150.21.161.155,Wilmington,Delaware,719-40-8943,Tongan,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
32,Anderson,McKeady,amckeadyv@nhs.uk,Male,190.75.36.46,Albuquerque,New Mexico,642-02-3973,Samoan,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
33,Kellina,Klas,kklasw@indiegogo.com,Female,241.13.110.99,Young America,Minnesota,318-12-1446,Shoshone,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
34,Frank,Lucken,fluckenx@g.co,Male,106.19.132.158,Irvine,California,555-29-2986,Sri Lankan,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
35,Tanner,Wolsey,twolseyy@weather.com,Male,79.236.179.174,Falls Church,Virginia,360-72-0981,Native Hawaiian and Other Pacific Islander (NHPI),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
36,Ferguson,Grigolon,fgrigolonz@infoseek.co.jp,Male,9.5.51.156,Boise,Idaho,606-30-0272,Chamorro,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
37,Robin,Adel,radel10@google.de,Male,163.154.82.218,Saint Louis,Missouri,852-43-4660,Honduran,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,Mauricio,Fischer,mfischer11@wix.com,Male,177.249.84.255,Des Moines,Iowa,240-43-2589,Navajo,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
39,Nessa,Mangeney,nmangeney12@webmd.com,Female,84.22.46.219,Grand Rapids,Michigan,107-43-1635,Hmong,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,Jesse,Handsheart,jhandsheart13@vistaprint.com,Female,69.87.229.170,Topeka,Kansas,678-40-6162,Paraguayan,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
41,Romy,Marjoribanks,rmarjoribanks14@huffingtonpost.com,Female,148.182.218.171,Bakersfield,California,308-55-6209,Samoan,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
42,Marigold,Gladden,mgladden15@princeton.edu,Female,102.4.40.240,Minneapolis,Minnesota,566-02-7622,Hmong,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
43,Kamilah,Wilmington,kwilmington16@google.nl,Female,29.253.153.251,Idaho Falls,Idaho,798-21-8606,Seminole,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,Kesley,Faustin,kfaustin17@ezinearticles.com,Female,228.12.135.3,Akron,Ohio,279-38-5214,Honduran,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
45,Antonia,Coneley,aconeley18@harvard.edu,Female,2.232.184.124,Brooklyn,New York,879-36-1903,Sri Lankan,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
46,Bron,Harlowe,bharlowe19@npr.org,Male,85.163.229.31,El Paso,Texas,745-78-7201,Yuman,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
47,Cinnamon,Crimes,ccrimes1a@microsoft.com,Female,35.104.134.24,San Bernardino,California,681-34-6860,Cambodian,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
48,Bibby,Wellman,bwellman1b@webs.com,Female,206.255.89.129,Arlington,Texas,791-69-5011,Alaska Native,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
49,Josephina,Hammerman,jhammerman1c@bbb.org,Female,76.243.98.11,Ashburn,Virginia,141-26-0128,Latin American Indian,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
50,Izzy,Gummory,igummory1d@techcrunch.com,Male,253.135.101.209,Albany,New York,418-96-2722,Cheyenne,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,Lexy,Harms,lharms1e@ucsd.edu,Female,220.232.185.74,New York City,New York,170-72-2224,Asian,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
52,Josi,Ramsby,jramsby1f@imgur.com,Female,179.78.46.84,Kansas City,Missouri,485-38-8784,Hmong,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
53,Fleming,Nilges,fnilges1g@china.com.cn,Male,54.210.251.81,Pittsburgh,Pennsylvania,630-09-3537,Korean,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
54,Wilton,Gotcliff,wgotcliff1h@mozilla.com,Male,132.54.54.26,Jackson,Mississippi,220-84-6829,Polynesian,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
55,Matthus,Sizey,msizey1i@nbcnews.com,Male,12.177.208.153,Baton Rouge,Louisiana,330-57-6357,Navajo,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,Antonius,Dudderidge,adudderidge1j@eventbrite.com,Male,238.235.110.240,Birmingham,Alabama,246-04-1523,Pima,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
57,Margaretta,Massimo,mmassimo1k@vk.com,Female,234.57.82.40,Boise,Idaho,159-67-0896,Tohono O'Odham,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
58,Bendicty,Newborn,bnewborn1l@senate.gov,Male,151.102.64.8,Berkeley,California,299-29-6590,Eskimo,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
59,Mariam,Brevetor,mbrevetor1m@hp.com,Female,33.149.7.30,Honolulu,Hawaii,242-83-8644,Sri Lankan,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,Constantino,Aimeric,caimeric1n@house.gov,Male,210.71.98.59,San Antonio,Texas,727-12-2940,Puerto Rican,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
61,Hube,Okenden,hokenden1o@auda.org.au,Male,99.232.131.5,Cedar Rapids,Iowa,326-77-2438,American Indian and Alaska Native (AIAN),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
62,Raleigh,Haddinton,rhaddinton1p@about.com,Male,208.151.53.223,Wilmington,Delaware,702-04-7041,American Indian,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
63,Bret,Kausche,bkausche1q@eventbrite.com,Male,224.253.4.76,Minneapolis,Minnesota,389-44-3350,Colville,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
64,Simeon,Buckle,sbuckle1r@nydailynews.com,Male,244.222.65.138,Phoenix,Arizona,805-55-8706,Seminole,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
65,Dehlia,Jovasevic,djovasevic1s@disqus.com,Female,10.79.111.231,Lubbock,Texas,807-74-2517,Micronesian,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
66,Valencia,Persian,vpersian1t@blogs.com,Female,205.12.196.178,College Station,Texas,560-46-3406,American Indian,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
67,Duffy,Betchley,dbetchley1u@yahoo.co.jp,Male,168.35.202.62,Davenport,Iowa,157-43-1157,Dominican (Dominican Republic),FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
68,Sauncho,Clitsome,sclitsome1v@admin.ch,Male,179.247.76.114,South Bend,Indiana,293-43-5914,Black or African American,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
69,West,Hatwell,whatwell1w@multiply.com,Male,34.205.191.138,Dallas,Texas,278-07-8969,Colville,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
70,Rad,Raccio,rraccio1x@google.it,Male,5.12.194.109,Albuquerque,New Mexico,587-24-1915,Comanche,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
71,Myrle,Bolens,mbolens1y@virginia.edu,Female,5.214.225.14,Dallas,Texas,353-87-8869,Ottawa,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
72,Ailene,Tweedie,atweedie1z@dyndns.org,Female,155.61.100.78,Atlanta,Georgia,826-29-6481,South American,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
73,Rufus,Cometson,rcometson20@accuweather.com,Male,242.156.163.19,Daytona Beach,Florida,836-26-0738,Cherokee,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
74,Darrell,Armin,darmin21@com.com,Male,255.207.255.219,Sioux Falls,South Dakota,381-11-6576,Yuman,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
75,Silvie,Whale,swhale22@vkontakte.ru,Female,1.79.26.188,Pinellas Park,Florida,679-36-0343,Polynesian,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
76,Tonie,Imlock,timlock23@sourceforge.net,Female,141.146.110.244,Honolulu,Hawaii,672-74-3865,Chickasaw,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
77,Cristal,McMenemy,cmcmenemy24@mysql.com,Female,100.193.169.144,Madison,Wisconsin,891-03-9082,Spaniard,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
78,Simon,Giacovelli,sgiacovelli25@sina.com.cn,Male,245.152.214.219,New Orleans,Louisiana,279-05-4521,Colville,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
79,Trix,Bridat,tbridat26@mapquest.com,Female,82.18.81.68,El Paso,Texas,538-19-0731,Vietnamese,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
80,Sharona,Lampke,slampke27@java.com,Female,247.230.65.9,Des Moines,Iowa,846-09-1849,Fijian,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
81,Merell,Steketee,msteketee28@over-blog.com,Male,182.154.112.252,Louisville,Kentucky,594-39-3878,Vietnamese,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
82,Matt,Duddle,mduddle29@chron.com,Male,1.23.109.15,Duluth,Minnesota,856-66-8198,Panamanian,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
83,Amalita,Van Brug,avanbrug2a@ehow.com,Female,76.216.108.101,Oklahoma City,Oklahoma,589-82-4567,Salvadoran,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,Bernadine,Rickis,brickis2b@wired.com,Female,77.89.216.148,Burbank,California,212-45-7733,Colombian,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
85,Vitia,Robjohns,vrobjohns2c@issuu.com,Female,13.58.20.152,Madison,Wisconsin,332-60-4529,Seminole,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
86,Alejandra,Krikorian,akrikorian2d@exblog.jp,Female,116.3.212.92,Columbia,South Carolina,400-12-7100,Bangladeshi,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,Martie,Ravilus,mravilus2e@independent.co.uk,Female,55.7.170.174,Little Rock,Arkansas,310-28-2833,South American,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
88,Vickie,Vitall,vvitall2f@jigsy.com,Female,190.10.138.204,Maple Plain,Minnesota,436-77-7219,Houma,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
89,Christos,Adami,cadami2g@trellian.com,Male,122.132.133.116,Corona,California,637-23-5536,Crow,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
90,Elvis,Gerson,egerson2h@hhs.gov,Male,244.136.93.32,Sacramento,California,507-86-4845,Comanche,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
91,Tilly,Whitebrook,twhitebrook2i@edublogs.org,Female,231.164.91.147,Peoria,Illinois,682-39-5575,White,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
92,Rem,Leyband,rleyband2j@rediff.com,Male,104.197.130.232,Birmingham,Alabama,622-15-0302,Peruvian,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
93,Killy,Chanders,kchanders2k@google.fr,Male,184.172.240.226,Virginia Beach,Virginia,793-95-4648,Paraguayan,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
94,Schuyler,Schlagh,sschlagh2l@salon.com,Male,112.135.125.87,New Orleans,Louisiana,555-22-9832,Paraguayan,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
95,Reynolds,Dowse,rdowse2m@delicious.com,Male,100.237.15.46,Huntington,West Virginia,153-73-5176,Fijian,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
96,Dilly,Skirvane,dskirvane2n@nps.gov,Male,70.21.120.166,Montpelier,Vermont,891-14-5067,Eskimo,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
97,Jeanna,Erley,jerley2o@vinaora.com,Female,247.250.231.73,Tulsa,Oklahoma,116-26-3633,Melanesian,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
98,Grayce,Macellar,gmacellar2p@de.vu,Female,12.124.14.160,Dallas,Texas,874-86-1839,Native Hawaiian and Other Pacific Islander (NHPI),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
99,Tadio,Cortes,tcortes2q@latimes.com,Male,27.217.253.181,Naples,Florida,803-23-9748,Houma,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100,Di,Goneau,dgoneau2r@cafepress.com,Female,3.249.14.174,Waco,Texas,288-33-2621,Paiute,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,Modestine,Clews,mclews2s@unesco.org,Female,23.23.255.254,Lincoln,Nebraska,477-50-1272,Pima,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
102,Chick,Simonel,csimonel2t@earthlink.net,Male,220.95.145.51,Anchorage,Alaska,729-52-6191,Puerto Rican,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
103,Wade,Illiston,williston2u@twitpic.com,Male,80.19.178.46,Juneau,Alaska,720-07-8607,Seminole,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,Ambrosius,Hansman,ahansman2v@nhs.uk,Male,216.117.161.105,Saint Paul,Minnesota,671-66-3421,Eskimo,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
105,Alvira,Sharvill,asharvill2w@stanford.edu,Female,232.255.45.70,San Diego,California,261-47-0433,Vietnamese,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
106,Ian,Waldram,iwaldram2x@blogtalkradio.com,Male,6.132.234.141,Southfield,Michigan,381-87-6234,Mexican,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
107,Cahra,Burrett,cburrett2y@bravesites.com,Female,102.47.156.24,Toledo,Ohio,102-39-4672,Ecuadorian,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,Conney,Manklow,cmanklow2z@xrea.com,Male,165.116.154.135,Tallahassee,Florida,681-12-0731,Potawatomi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
109,Reiko,Bruhnsen,rbruhnsen30@cmu.edu,Female,61.68.10.198,Dayton,Ohio,227-07-7858,Salvadoran,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
110,Israel,Cleever,icleever31@fda.gov,Male,212.200.177.109,Atlanta,Georgia,620-51-6613,Sri Lankan,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
111,Yul,Luto,yluto32@smugmug.com,Male,251.38.6.224,College Station,Texas,788-32-5864,Yakama,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
112,Hulda,Ksandra,hksandra33@dropbox.com,Female,31.99.153.234,New York City,New York,462-24-8804,Paiute,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
113,Quintin,Findlater,qfindlater34@ustream.tv,Male,132.223.15.92,New York City,New York,536-82-5226,Apache,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
114,Aimee,Wittering,awittering35@biblegateway.com,Female,155.179.18.51,Kansas City,Missouri,732-63-2983,Ute,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
115,Roderigo,Fugere,rfugere36@addtoany.com,Male,132.181.164.151,Saint Louis,Missouri,340-62-5439,Potawatomi,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
116,Cecilius,Mielnik,cmielnik37@ifeng.com,Male,174.213.153.183,Plano,Texas,458-42-9545,Bolivian,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
117,Adolphe,Shinfield,ashinfield38@vistaprint.com,Male,246.172.95.48,Norfolk,Virginia,546-40-6782,American Indian and Alaska Native (AIAN),TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
118,Phillip,Martinyuk,pmartinyuk39@auda.org.au,Male,188.240.189.166,Fort Lauderdale,Florida,791-12-4577,Colville,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
119,Friedrick,Waulker,fwaulker3a@nih.gov,Male,116.89.68.244,Lexington,Kentucky,731-89-7075,Navajo,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
120,Aldus,Olliar,aolliar3b@cargocollective.com,Male,179.166.212.100,Saint Petersburg,Florida,378-68-4391,Paiute,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
121,Mame,Lilion,mlilion3c@cdbaby.com,Female,115.48.31.19,Fort Wayne,Indiana,716-59-1952,Chamorro,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
122,Romeo,Petri,rpetri3d@163.com,Male,164.173.153.112,Birmingham,Alabama,778-63-5921,Blackfeet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
123,Mycah,Sans,msans3e@usatoday.com,Male,211.59.20.191,Scottsdale,Arizona,864-57-3399,Tongan,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
124,Lou,Ohrt,lohrt3f@census.gov,Male,51.173.153.187,Dayton,Ohio,404-01-3438,Cree,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
125,Inger,Briar,ibriar3g@weibo.com,Male,42.175.85.247,Richmond,Virginia,637-95-0099,Blackfeet,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
